id,company,robot,country,website,x,linkedin,youtube,careers,b2b_client,stock,valuation,investors,rounds,release,height_cm,weight_kg,walk_kmh,run_kmh,payload_kg,power_hours,software,voice,clothed
phybot-m1,Phybot,M1,China,https://www.phybot.tech/,https://x.com/PHYBOT_Tech,,,,,Private,,,,,172,60,,,,,,,No
pib-pib,Pib,Pib,,https://pib.rocks/,,,,,,Private,,,,,,,,,,,,,
pndbotics-adam,PNDbotics,Adam,China,https://www.pndbotics.com/,https://x.com/PNDbotics,,https://www.youtube.com/watch?v=pzxB-va0qNo,,"AI research, locomotion R&D, perception, HRI",Private,,,,,167,62,,,,4,Dual compute; SDK; RL/IL locomotion stack,,No
pollen-reachy-2,Pollen,Reachy 2,France,https://www.pollen-robotics.com/,https://x.com/pollenrobotics,https://www.linkedin.com/company/pollen-robotics/,https://www.youtube.com/watch?v=T3RdwDkZA9c,,"Research, education, teleoperation, manipulation prototyping",Private,,,"2,600,000.00",,,50,,,3,,ROS2 Humble; Python SDK; VR teleoperation; open source,,No
pudu-d7,Pudu,D7,China,https://www.pudurobotics.com/it/news/917,https://x.com/PuduRobotics,https://www.linkedin.com/company/pudurobotics/,https://youtu.be/CbA9wA9etGA,,,Private,,,,2024,165,45,7.2,7.2,10,8,,,No
qinglong-qinglong,Qinglong,Qinglong,China,https://technode.com/2024/07/05/qinglong-chinas-first-full-sized-general-purpose-humanoid-robot-unveiled-at-world-artificial-intelligence-conference-2024/,,https://www.linkedin.com/company/rainbow-robotics/,https://youtu.be/ilwG5zkNOz8,,"Research, academic, R&D, industrial open-source platform",Private,,,,2024,185,85,3.6,3.6,40,3,OpenLoong open-source stack; MPC/WBC; 400 TOPS compute,,No
rainbow-hubo,Rainbow,Hubo,Korea,https://www.rainbow-robotics.com/,,https://www.linkedin.com/company/rainbow-robotics/,https://www.youtube.com/watch?v=KKr0ix0qAnY,,"Research platform; MIT, Google and other institutes",KOSDAQ:277810,,Samsung,,,120,43,,,,,BLDC/DC actuators; onboard real-time controller; 38 DOF,,
realbotix-aria,Realbotix,Aria,USA,https://www.realbotix.com/,https://x.com/RealbotixCorp,,https://www.youtube.com/watch?v=4Bq91og7VmM,,"Service sector, companionship, human interaction",0.31,"67,859,000.00",,,,,,,,,,Realbotix Controller; AI vision; facial recognition,,Yes
reflex-reflex,Reflex,Reflex,USA,https://www.reflexrobotics.com/,https://x.com/reflexrobot,https://www.linkedin.com/company/reflexrobotics/,https://www.youtube.com/watch?v=r2jPnpuSpPk,,,Private,,,"7,300,000.00",,,,,,,,,,
revobots-taskbot,Revobots,Taskbot,,https://revobots.ai/,https://x.com/REVOBOTS_AI,https://www.linkedin.com/company/revobots/,,,,Private,,,,,,,,,,,,,
robotera-star-1,Robotera,Star 1,China,https://www.robotera.com/,https://x.com/roboterax,https://www.linkedin.com/company/robotera1/,https://www.youtube.com/watch?v=nx2YO3twZYs,,,Private,,,,2024,171,65,,,,,,,No
robotera-r-noid,Robotera,R-Noid,,https://www.robot.com/r-noid,https://x.com/Robotcom,https://www.linkedin.com/company/robot-com/,,,,Private,,,,,,,,,,,,,
robotis-k0,Robotis,K0,South Korea,https://www.robotis.us/,,,,,,KOSDAQ:108490,,,,,130,34,,,3,,AI Sapiens; Isaac Sim RL / imitation learning,,No
robros-igris,Robros,Igris,South Korea,https://robros.co.kr/,,https://www.linkedin.com/company/robros/,https://www.youtube.com/watch?v=RQBLrPunlHc,,,Private,,,,,154,56,,,,,,,No
sanctuary-ai-phoenix,Sanctuary AI,Phoenix,Canada,https://sanctuary.ai/resources/news/sanctuary-ai-unveils-phoenix-a-humanoid-general-purpose-robot-designed-for-work/,https://x.com/TheSanctuaryAI,https://www.linkedin.com/company/sanctuaryai/,https://www.youtube.com/watch?v=-HizP4UQvug,,,Private,,,,2023,170,70,4.8,4.8,25,,Carbon cognitive architecture; haptic dexterous hands,,No
sharpa-wave,Sharpa,Wave,,https://www.sharpa.com/,https://x.com/SharpaRobotics,,,,,Private,,,,,,,,,,,,,
spirit-moz,Spirit,Moz,China,https://www.spirit-ai.com/,,,,,,Private,,,,,160,70,,,,,,,No
